RegionName,Date,HomePrice
Nevada County,2001-01-31,207543.35194965705
Sutter County,2001-01-31,
Mendocino County,2001-01-31,
Yuba County,2001-01-31,
Lake County,2001-01-31,
Tehama County,2001-01-31,
San Benito County,2001-01-31,
Tuolumne County,2001-01-31,
Calaveras County,2001-01-31,
Siskiyou County,2001-01-31,
Amador County,2001-01-31,
Lassen County,2001-01-31,
Glenn County,2001-01-31,
Del Norte County,2001-01-31,
Colusa County,2001-01-31,
Plumas County,2001-01-31,
Inyo County,2001-01-31,
Mariposa County,2001-01-31,
Trinity County,2001-01-31,
Mono County,2001-01-31,
Modoc County,2001-01-31,
Sierra County,2001-01-31,
Alpine County,2001-01-31,
Los Angeles County,2001-02-28,231538.26934637807
San Diego County,2001-02-28,252260.17303199027
Orange County,2001-02-28,296488.4526369935
Riverside County,2001-02-28,171291.99045567907
San Bernardino County,2001-02-28,140370.4221440528
Santa Clara County,2001-02-28,516155.5325734844
Alameda County,2001-02-28,344773.7566713135
Sacramento County,2001-02-28,168375.79874718425
Contra Costa County,2001-02-28,326130.55256795586
Fresno County,2001-02-28,111974.380170977
Kern County,2001-02-28,98475.20093626349
San Francisco County,2001-02-28,485841.9855032789
Ventura County,2001-02-28,294393.2089724325
San Joaquin County,2001-02-28,184721.2825893516
San Mateo County,2001-02-28,528161.5942883401
Stanislaus County,2001-02-28,166062.0707382247
Sonoma County,2001-02-28,309505.26947215147
Tulare County,2001-02-28,101851.05508334687
